,0,1
0,4878,5230
1,7545,1127
2,16797,15483
3,20001,19250
4,20507,5997
5,12324,3649
6,17231,13588
7,11461,2620
8,16664,9151
9,11978,4364
10,16881,5944
11,2787,14456
12,17948,6954
13,17237,5495
14,9988,2010
15,15237,1771
16,7784,19516
17,20117,5704
18,11114,21191
19,6513,21519
20,21276,16507
21,9619,22042
22,7516,3065
23,22235,8300
24,22119,929
25,10031,8909
26,18080,15431
27,14651,16631
28,18689,6899
29,20569,9914
30,18985,3135
31,16198,11669
32,14383,20663
33,10122,10159
34,17266,7248
35,7693,9620
36,9540,10902
37,2217,527
38,11256,3469
39,5732,18500
40,22087,6952
41,6023,2704
42,21866,19703
43,18314,1185
44,14138,17349
45,22192,21869
46,14388,315
47,10666,9092
48,19512,5565
49,10415,2388
50,19935,2027
51,14832,10333
52,5386,8869
53,9485,19429
54,341,8742
55,20623,4097
56,4582,633
57,1628,18525
58,12838,9035
59,16152,3823
60,5965,622
61,12087,13763
62,3989,11035
63,12896,5576
64,6936,5016
65,4040,403
66,6199,8559
67,11437,10712
68,15894,6629
69,6922,21924
70,8798,15458
71,5013,15332
72,9291,13263
73,7637,5581
74,6814,1722
75,173,21390
76,16591,14407
77,16415,485
78,21309,6679
79,8289,16049
80,15134,14560
81,7121,14996
82,901,16459
83,12771,4961
84,17971,19293
85,9437,14385
86,2255,19031
87,17697,17113
88,20750,8285
89,3299,13669
90,21441,2598
91,16266,15760
92,12835,6716
93,11539,13386
94,7930,4605
95,767,2380
96,18378,12196
97,3370,311
98,1346,12028
99,1227,9187
100,3653,10863
101,487,15146
102,20858,22034
103,18564,6475
104,21327,8594
105,15934,15652
106,9300,19159
107,22218,12506
108,20029,9266
109,13707,7323
110,15410,3900
111,943,8618
112,21457,12436
113,10597,10976
114,10255,21982
115,12775,1158
116,2886,1188
117,15910,7407
118,5787,13569
119,11734,5979
120,13967,17053
121,14168,7638
122,6467,3258
123,20135,16763
124,8879,22181
125,9099,5168
126,1046,1638
127,17270,10682
128,8811,2131
129,8153,10160
130,16931,2195
131,7655,13337
132,22344,653
133,15692,8056
134,17107,5763
135,436,325
136,17182,7600
137,2271,14536
138,10595,7346
139,15236,17996
140,11959,5490
141,7126,5387
142,2718,11952
143,4270,5386
144,20442,619
145,11050,7935
146,10799,8681
147,3469,9618
148,6300,10211
149,12899,8014
150,17734,22287
151,19462,3561
152,19450,14539
153,10407,14577
154,18407,18327
155,17639,954
156,15607,20757
157,11160,1240
158,3250,3157
159,14580,1473
160,19337,5989
161,5562,3390
162,4803,6654
163,5450,9555
164,14353,1437
165,11197,2308
166,643,12725
167,12211,8097
168,12156,15331
169,5786,22086
170,18674,11738
171,19589,8739
172,16593,5584
173,19917,5927
174,9004,12690
175,16916,1224
176,840,21451
177,19,15026
178,12552,11844
179,11946,7579
180,15099,7381
181,16686,9221
182,3154,21967
183,10555,17854
184,6639,5695
185,6536,22240
186,13881,5417
187,21156,13314
188,19745,21454
189,21530,13491
190,11938,9729
191,12797,15820
192,16787,5134
193,6238,22070
194,3944,19879
195,3985,18653
196,17173,732
197,643,4239
198,12162,6745
199,1254,5846
200,15691,4500
201,7655,21442
202,17438,18212
203,5490,3203
204,9210,15749
205,5999,14218
206,13873,17066
207,6941,5882
208,22341,12757
209,6943,15365
210,20991,871
211,18998,4262
212,22111,14938
213,16438,277
214,14559,21035
215,15447,17765
216,2623,7237
217,17432,8571
218,15239,13876
219,3446,8212
220,11763,14716
221,17563,16360
222,21710,19255
223,17912,3252
224,4185,17456
225,4272,9043
226,396,12036
227,1585,8687
228,20473,21191
229,19944,15299
230,3188,3138
231,7456,21156
232,16455,17017
233,19585,16891
234,7029,6071
235,21411,5764
236,17414,6964
237,8336,4196
238,12715,16983
239,1784,16144
240,3870,17170
241,10133,2325
242,6985,12852
243,11961,3832
244,6932,148
245,15126,10152
246,10781,6533
247,15001,7677
248,12786,20301
249,8693,15321
250,14832,5706
251,15695,6829
252,6141,4443
253,15117,8555
254,17511,7917
255,17408,8244
256,11924,10613
257,22165,5096
258,3998,16519
259,7192,17472
260,15064,18474
261,16366,4614
262,19363,21675
263,13508,586
264,7377,19846
265,15954,13432
266,1630,10813
267,16943,8861
268,5239,17135
269,13822,6440
270,1929,14671
271,20491,1640
272,10089,9834
273,12138,19994
274,17748,12436
275,22084,8860
276,14000,15561
277,21035,2930
278,12725,7031
279,12221,10133
280,14260,18675
281,21741,10951
282,1387,20498
283,12625,11477
284,1159,20514
285,4201,9051
286,13959,13514
287,3073,4683
288,17823,11958
289,16625,6936
290,6098,19550
291,17867,8305
292,3324,22197
293,3343,3063
294,21791,12381
295,12543,8872
296,5934,843
297,15981,5949
298,21192,5043
299,1151,19323
300,21805,3062
301,21404,13169
302,4623,14964
303,16073,6557
304,21731,5605
305,6973,4413
306,12175,19277
307,11821,22370
308,3930,4696
309,16061,15692
310,16374,14110
311,20706,11521
312,181,2610
313,9730,19753
314,6029,595
315,865,9588
316,9170,19253
317,13237,14082
318,8153,18851
319,1548,5408
320,2891,15402
321,13878,1691
322,2003,13416
323,864,20374
324,2214,8670
325,3286,14632
326,17204,20024
327,12502,5559
328,7716,8064
329,1923,13111
330,21304,20041
331,5633,11761
332,9168,21469
333,15832,4895
334,20193,3423
335,15864,3412
336,8108,20758
337,20592,10325
338,4526,8832
339,21541,9365
340,18773,1974
341,21560,1143
342,10273,19909
343,19263,2840
344,5919,19247
345,19876,13256
346,2156,6992
347,19010,7710
348,11646,16882
349,7142,11131
350,12839,5364
351,4128,14466
352,11246,17547
353,10605,16874
354,3560,11814
355,21459,18310
356,5422,16946
357,3508,15628
358,1459,7248
359,10227,17345
360,12999,3191
361,14277,5206
362,8928,10018
363,14505,17492
364,22142,10449
365,17980,3916
366,13684,12252
367,10598,17435
368,16300,4564
369,620,705
370,622,1938
371,5595,9912
372,1500,1455
373,20481,18111
374,19054,6483
375,4209,12535
376,17545,17519
377,21916,5875
378,17345,14253
379,431,8771
380,19062,17192
381,12290,7076
382,20802,17020
383,15592,4605
384,19651,1589
385,12445,3165
386,12897,13270
387,8927,7912
388,6114,20962
389,14653,13515
390,20917,2833
391,5259,5371
392,3847,15837
393,10019,13059
394,8871,1043
395,22048,7274
396,16903,1864
397,1903,9368
398,18035,11845
399,2746,20322
400,5867,21005
401,846,15086
402,9880,5948
403,18594,7291
404,5484,19067
405,3989,15627
406,9277,9051
407,2015,13911
408,1630,5864
409,22095,7198
410,16461,17464
411,18219,13045
412,22417,6694
413,17092,2463
414,6839,7735
415,22240,1794
416,3239,9957
417,13481,19829
418,21723,7793
419,10777,2130
420,16112,15374
421,21110,11305
422,12192,18686
423,18647,766
424,19094,15273
425,16714,4704
426,1446,467
427,9673,3807
428,2656,2131
429,11427,597
430,8412,19118
431,17509,18070
432,3409,21824
433,299,7678
434,9712,5461
435,11772,7844
436,8263,6716
437,4995,1470
438,10519,20793
439,13050,4191
440,13024,5096
